,paper_id,author_name,author_affiliation,authorId,affiliation_type_auto,affiliation_type_full
3058,7bc42c1453d4cc9382924a8808a68fd8b2525453,Guy Edward Toh Emerson,University of Cambridge,145406160,Academic,Academic
3066,202e24f1c7d0e022a3c756b5102cddcc5c49a2f6,Minlie Huang,Tsinghua University,1730108,Academic,Academic
2482,de5834305ea419c25b17f0c8d27bad6a5feb311a,E. Hovy,,144547315,,
2483,de5834305ea419c25b17f0c8d27bad6a5feb311a,Graham Neubig,,1700325,,
2484,de5834305ea419c25b17f0c8d27bad6a5feb311a,Taylor Berg-Kirkpatrick,,1400419309,,
2485,5308b9d6c001304a882a50891ccce9f7ccb1c3ec,D. Gerz,,51176335,,
2486,5308b9d6c001304a882a50891ccce9f7ccb1c3ec,Ivan Vulic,,1747849,,
2487,5308b9d6c001304a882a50891ccce9f7ccb1c3ec,E. Ponti,,3381663,,
2488,5308b9d6c001304a882a50891ccce9f7ccb1c3ec,Roi Reichart,,1762757,,
2489,5308b9d6c001304a882a50891ccce9f7ccb1c3ec,A. Korhonen,,145762466,,
3082,2163dbd2c06f0aa326995b59c226e40553c4c63b,Leon Weber,Humboldt-Universität zu Berlin,20308468,Academic,Academic
3089,e84d754564c9e2ce993596370e0a1493c9c6e4b1,Chengyue Gong,University of Texas at Austin,29777869,Academic,Academic
2492,dfcd3527d11960261b9dcad668b23b7c210f3cae,Kyomin Jung,,1731707,,
2493,58da24cf5db383781a9803a4dbe97e443c8a3b29,Bernd Huber,,115511686,,
2494,58da24cf5db383781a9803a4dbe97e443c8a3b29,Daniel J. McDuff,,1801452,,
2495,58da24cf5db383781a9803a4dbe97e443c8a3b29,Chris Brockett,,3125776,,
3110,cc50f846ed7222698d130cddbc58ed4d547914ed,Yusheng Su,Tsinghua University,48576745,Academic,Academic
2497,58da24cf5db383781a9803a4dbe97e443c8a3b29,W. Dolan,,83415753,,
2498,4fca64e6dc4e803d3ed904c04c6845a9e6adc53e,Matthew Conlen,,40963003,,
3113,cc50f846ed7222698d130cddbc58ed4d547914ed,Fanchao Qi,Tsinghua University,51466208,Academic,Academic
2500,f75f966e8f2c1e0b0bd34940afdbd214f5ab7407,F. Fang,,50346853,,
2501,f75f966e8f2c1e0b0bd34940afdbd214f5ab7407,W. Baker,,116012565,,
2502,70624197f99417419500a4de258b526cef95505f,Shuhong Wang,,49184646,,
2503,70624197f99417419500a4de258b526cef95505f,Huilan Yu,,2118682422,,
2504,70624197f99417419500a4de258b526cef95505f,M. Song,,35747874,,
2505,3b08879e928a0e1e8770c54dcbdb71248bbc4787,Sarfaraz Masood,,40656843,,
2506,3b08879e928a0e1e8770c54dcbdb71248bbc4787,Adhyan Srivastava,,71933330,,
2507,3b08879e928a0e1e8770c54dcbdb71248bbc4787,H. Thuwal,,72169522,,
2508,3b08879e928a0e1e8770c54dcbdb71248bbc4787,M. Ahmad,,48767189,,
2509,6d9d059a5eadab5c4b8b2a87ccc1dd609132b15d,Zhi-jie Liang,,2113515622,,
2510,6d9d059a5eadab5c4b8b2a87ccc1dd609132b15d,Shengbo Liao,,89943128,,
2511,6d9d059a5eadab5c4b8b2a87ccc1dd609132b15d,Bing Hu,,2145118724,,
2512,c6eb3704380edb827c6abc2758fa78b766e39eeb,Nic Ford,,46516638,,
3114,cc50f846ed7222698d130cddbc58ed4d547914ed,Xiaozhi Wang,Tsinghua University,48631777,Academic,Academic
2514,c6eb3704380edb827c6abc2758fa78b766e39eeb,Mohammad Norouzi,,144739074,,
2515,c6eb3704380edb827c6abc2758fa78b766e39eeb,George E. Dahl,,35188630,,
2516,89d15c9de3608157ff746af7368556149b50e037,Yihong Gu,,46964261,,
3121,cc50f846ed7222698d130cddbc58ed4d547914ed,Zhiyuan Liu,Tsinghua University,49293587,Academic,Academic
3122,cc50f846ed7222698d130cddbc58ed4d547914ed,Minlie Huang,Tsinghua University,1730108,Academic,Academic
