,paper_id,author_name,author_affiliation,authorId,author_precedence,affiliation_type
0,2ef9abf5245f8abb1dd05896a23b8885ce562b90,Yue Zhang,,39939186,0,
1,2ef9abf5245f8abb1dd05896a23b8885ce562b90,Graeme W. Blackwood,,1755741,1,
2,2ef9abf5245f8abb1dd05896a23b8885ce562b90,S. Clark,,144523372,2,
3,4748fcfb83d8da742406d8606e31dc5710e8b09c,J. Juhár,,2500959,0,
4,4748fcfb83d8da742406d8606e31dc5710e8b09c,J. Stas,,2114911,1,
5,4748fcfb83d8da742406d8606e31dc5710e8b09c,D. Hládek,,2273596,2,
6,8c8690406427e651503da0b07d293e91e6fa6e42,P. Jyothi,,144859542,0,
7,8c8690406427e651503da0b07d293e91e6fa6e42,Leif M. Johnson,,50514564,1,
8,8c8690406427e651503da0b07d293e91e6fa6e42,Ciprian Chelba,,1802969,2,
9,8c8690406427e651503da0b07d293e91e6fa6e42,B. Strope,,2704071,3,
10,fbdada9261955f0820a4e3c0637bb4eb197b5268,J. Juhár,,2500959,0,
11,fbdada9261955f0820a4e3c0637bb4eb197b5268,J. Stas,,2114911,1,
12,fbdada9261955f0820a4e3c0637bb4eb197b5268,D. Hládek,,2273596,2,
13,04b1e6e0e38e2f707ad73b736e94b1d1b25186a1,Deniz Yuret,,2808366,0,
14,186f9616e98218d29d08608de311a86d40bec6b5,Ming Tan,,2068026069,0,
15,186f9616e98218d29d08608de311a86d40bec6b5,Wenli Zhou,,2118882118,1,
16,186f9616e98218d29d08608de311a86d40bec6b5,Lei Zheng,,2115223379,2,
17,186f9616e98218d29d08608de311a86d40bec6b5,Shaojun Wang,,50694888,3,
18,8cd93133e34d5d23578539de3eace03dbe3dbda7,M. Patil,,40541564,0,
19,8cd93133e34d5d23578539de3eace03dbe3dbda7,A. M. Bagade,,3335914,1,
20,151ff93e5d189bd810165dd90b1cbcb6194e8594,Shixiang Lu,,1771725,0,
21,151ff93e5d189bd810165dd90b1cbcb6194e8594,Wei Wei,,2157786028,1,
22,151ff93e5d189bd810165dd90b1cbcb6194e8594,Xiaoyin Fu,,1752289,2,
23,151ff93e5d189bd810165dd90b1cbcb6194e8594,Bo Xu,,2109511511,3,
24,38d48c2b19bfbe8703e80a0f106137faf88cf81a,Zongcheng Ji,,1701747,0,
25,38d48c2b19bfbe8703e80a0f106137faf88cf81a,Fei Xu,,2152477762,1,
26,38d48c2b19bfbe8703e80a0f106137faf88cf81a,Bin Wang,,37722675,2,
27,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Shixiang Lu,,1771725,0,
28,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Wei Wei,,2157786028,1,
29,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Xiaoyin Fu,,1752289,2,
30,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Lichun Fan,,2645160,3,
31,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Bo Xu,,2109511511,4,
32,3b3091ea761a9441c9301e857df587ce6c7debdf,Yujing Si,,39523066,0,
33,3b3091ea761a9441c9301e857df587ce6c7debdf,Ta Li,,144811734,1,
34,3b3091ea761a9441c9301e857df587ce6c7debdf,Shang Cai,,2710153,2,
35,3b3091ea761a9441c9301e857df587ce6c7debdf,Jielin Pan,,2075567,3,
36,3b3091ea761a9441c9301e857df587ce6c7debdf,Yonghong Yan,,145244226,4,
37,2747879a913f4ba9ef1db27bc8e396012cf01302,Yujing Si,,39523066,0,
38,2747879a913f4ba9ef1db27bc8e396012cf01302,Ji Xu,,2144296050,1,
39,2747879a913f4ba9ef1db27bc8e396012cf01302,Zhen Zhang,,2116701301,2,
40,2747879a913f4ba9ef1db27bc8e396012cf01302,Jielin Pan,,2075567,3,
41,2747879a913f4ba9ef1db27bc8e396012cf01302,Yonghong Yan,,145244226,4,
42,b5dbff5bab672b693f9a8df3aad2182ae97de599,Shan Yu-Xiang,,2059675096,0,
43,b5dbff5bab672b693f9a8df3aad2182ae97de599,Chenhao Xie,,2238837,1,
44,b5dbff5bab672b693f9a8df3aad2182ae97de599,Shi Yong-zhe,,73741923,2,
45,b5dbff5bab672b693f9a8df3aad2182ae97de599,Liu Jia,,144470025,3,
46,a3c7608e9f116e00f532839d6371fa1654402f8d,R. Damdoo,,9494289,0,
47,a3c7608e9f116e00f532839d6371fa1654402f8d,U. Shrawankar,,143706616,1,
48,0af72250db3fd4e8b1b5511009c63b6411481566,S. Ostrogonac,,2670755,0,
49,0af72250db3fd4e8b1b5511009c63b6411481566,D. Mišković,,34615136,1,
50,0af72250db3fd4e8b1b5511009c63b6411481566,M. Secujski,,1686270,2,
51,0af72250db3fd4e8b1b5511009c63b6411481566,D. Pekar,,2493142,3,
52,0af72250db3fd4e8b1b5511009c63b6411481566,V. Delić,,1693523,4,
